epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2792.32,1.1049,1.33241,1.36679,0.64038,0.56846,0.60718,0.39549,1.17556,1.24324,1.29751,0.006238,0.006238,0.006238
78,2828.47,1.09073,1.31968,1.36154,0.63351,0.57247,0.60872,0.39542,1.17658,1.24105,1.29753,0.0061885,0.0061885,0.0061885
79,2864.55,1.09367,1.31634,1.36028,0.6432,0.56521,0.60792,0.39905,1.17274,1.23367,1.2939,0.006139,0.006139,0.006139
80,2900.26,1.08805,1.32179,1.35601,0.65495,0.56024,0.60944,0.39972,1.16899,1.23219,1.28831,0.0060895,0.0060895,0.0060895
81,2935.97,1.08576,1.31302,1.35703,0.64974,0.56979,0.61172,0.4014,1.16668,1.22616,1.28469,0.00604,0.00604,0.00604
82,2973.23,1.09032,1.31038,1.35851,0.65077,0.57003,0.61298,0.402,1.16811,1.22056,1.28889,0.0059905,0.0059905,0.0059905
83,3009.21,1.09105,1.30211,1.35255,0.66016,0.5654,0.61813,0.40407,1.16671,1.21895,1.28483,0.005941,0.005941,0.005941
84,3045.74,1.08671,1.29228,1.35522,0.64588,0.57858,0.6183,0.40594,1.16417,1.2142,1.28612,0.0058915,0.0058915,0.0058915
85,3082.56,1.08023,1.30225,1.35484,0.65331,0.57667,0.62147,0.40917,1.16186,1.2093,1.28604,0.005842,0.005842,0.005842
86,3118.3,1.07976,1.28192,1.34856,0.66217,0.57153,0.62227,0.40969,1.16051,1.20479,1.28422,0.0057925,0.0057925,0.0057925
87,3154.03,1.06996,1.28438,1.3448,0.65942,0.5738,0.62233,0.41179,1.15863,1.20229,1.283,0.005743,0.005743,0.005743
88,3190.02,1.0737,1.29627,1.35217,0.65541,0.58038,0.62537,0.41397,1.15232,1.19546,1.27963,0.0056935,0.0056935,0.0056935
89,3226.15,1.07827,1.27904,1.34886,0.66388,0.578,0.62567,0.41373,1.15288,1.19,1.27866,0.005644,0.005644,0.005644
90,3261.9,1.06632,1.27634,1.33761,0.65574,0.5843,0.62727,0.41456,1.15324,1.1902,1.27788,0.0055945,0.0055945,0.0055945
91,3297.38,1.06828,1.26678,1.33859,0.65885,0.58163,0.6281,0.41612,1.15229,1.18459,1.27698,0.005545,0.005545,0.005545
92,3333.16,1.07069,1.2696,1.33936,0.65651,0.59232,0.6309,0.41669,1.15231,1.18319,1.27541,0.0054955,0.0054955,0.0054955
93,3369.16,1.06491,1.26721,1.33635,0.66037,0.58885,0.63135,0.41766,1.15076,1.18125,1.27271,0.005446,0.005446,0.005446
94,3405.04,1.07003,1.26749,1.33539,0.66269,0.58449,0.63239,0.41943,1.14813,1.17954,1.26922,0.0053965,0.0053965,0.0053965
95,3441.29,1.05453,1.25628,1.33039,0.66381,0.58628,0.63445,0.42136,1.14578,1.17623,1.26809,0.005347,0.005347,0.005347
96,3477.07,1.06145,1.25689,1.33548,0.66592,0.58755,0.63489,0.42296,1.14508,1.17112,1.2669,0.0052975,0.0052975,0.0052975
97,3513.35,1.05557,1.25186,1.33102,0.66183,0.59156,0.63676,0.42502,1.1459,1.1684,1.26723,0.005248,0.005248,0.005248
