epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1657.73,1.13447,1.38173,1.37562,0.63028,0.5332,0.56645,0.36177,1.22166,1.33433,1.31048,0.0072775,0.0072775,0.0072775
57,1689.87,1.13584,1.38796,1.37403,0.62415,0.53019,0.56531,0.35866,1.22296,1.3481,1.30993,0.007228,0.007228,0.007228
58,1716.15,1.13988,1.4066,1.38045,0.6228,0.54668,0.57617,0.36756,1.21456,1.33375,1.30616,0.0071785,0.0071785,0.0071785
59,1746.4,1.1276,1.37793,1.36728,0.61411,0.56368,0.57948,0.36806,1.22913,1.31733,1.30803,0.007129,0.007129,0.007129
60,1773.01,1.12657,1.37714,1.36271,0.6154,0.54936,0.57355,0.36316,1.2176,1.33097,1.30336,0.0070795,0.0070795,0.0070795
61,1800.38,1.12592,1.36952,1.36776,0.62261,0.55872,0.57992,0.36883,1.20122,1.32676,1.2948,0.00703,0.00703,0.00703
62,1828.87,1.12776,1.36807,1.36702,0.62228,0.56183,0.584,0.37448,1.19922,1.3087,1.28758,0.0069805,0.0069805,0.0069805
63,1857.4,1.124,1.36521,1.36519,0.6135,0.56425,0.58311,0.3749,1.19555,1.29594,1.28325,0.006931,0.006931,0.006931
64,1886.77,1.12206,1.35482,1.36142,0.63481,0.55364,0.58867,0.37748,1.20711,1.28847,1.28943,0.0068815,0.0068815,0.0068815
65,1915.73,1.11255,1.3485,1.35573,0.64098,0.55528,0.59137,0.38113,1.20431,1.2808,1.28617,0.006832,0.006832,0.006832
66,1942.63,1.113,1.3547,1.35787,0.63359,0.56273,0.59253,0.38386,1.1875,1.27885,1.27512,0.0067825,0.0067825,0.0067825
67,1971.27,1.11127,1.34327,1.35206,0.62979,0.5717,0.59657,0.38332,1.19828,1.2757,1.28104,0.006733,0.006733,0.006733
68,1999.27,1.1004,1.34111,1.34885,0.63717,0.56731,0.59721,0.38724,1.18023,1.26704,1.26599,0.0066835,0.0066835,0.0066835
69,2028.51,1.09943,1.33075,1.34829,0.62729,0.56922,0.59886,0.38405,1.18524,1.26204,1.27091,0.006634,0.006634,0.006634
70,2056.99,1.11077,1.33588,1.34607,0.63635,0.57171,0.60304,0.3897,1.18376,1.25809,1.2706,0.0065845,0.0065845,0.0065845
71,2085.82,1.09577,1.3194,1.34573,0.64275,0.57266,0.60545,0.3925,1.18799,1.24497,1.27363,0.006535,0.006535,0.006535
72,2116.47,1.10716,1.33229,1.35219,0.64447,0.57285,0.60869,0.39471,1.1815,1.24222,1.27034,0.0064855,0.0064855,0.0064855
73,2144.63,1.09857,1.31731,1.33839,0.65132,0.57838,0.61082,0.39733,1.17364,1.23631,1.26083,0.006436,0.006436,0.006436
74,2173.29,1.10177,1.31284,1.34403,0.65698,0.57418,0.61441,0.39911,1.17041,1.23208,1.25455,0.0063865,0.0063865,0.0063865
75,2201.22,1.09688,1.31478,1.34129,0.66196,0.57552,0.61587,0.40083,1.17068,1.2268,1.25922,0.006337,0.006337,0.006337
76,2228.83,1.08756,1.30935,1.33445,0.65959,0.5805,0.61668,0.40349,1.16605,1.22294,1.25472,0.0062875,0.0062875,0.0062875
77,2256.59,1.09364,1.30146,1.33364,0.65091,0.57749,0.61792,0.40493,1.16254,1.21569,1.24768,0.006238,0.006238,0.006238
78,2284.85,1.07835,1.30427,1.33402,0.66699,0.56826,0.61697,0.40501,1.16164,1.21656,1.24748,0.0061885,0.0061885,0.0061885
