epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,8906.72,0.83263,0.87356,1.1756,0.72064,0.65069,0.68745,0.48359,1.01322,0.99448,1.21052,0.00208,0.00208,0.00208
162,8961.49,0.83109,0.88065,1.1791,0.72099,0.65018,0.68749,0.48411,1.01231,0.99373,1.20962,0.0020305,0.0020305,0.0020305
163,9015.88,0.82758,0.87121,1.17523,0.71586,0.65331,0.68796,0.48462,1.01178,0.99283,1.20913,0.001981,0.001981,0.001981
164,9070.81,0.82555,0.87169,1.17742,0.71787,0.65299,0.68835,0.48515,1.01134,0.99198,1.20863,0.0019315,0.0019315,0.0019315
165,9125.36,0.82441,0.86726,1.17204,0.71877,0.65266,0.68887,0.48557,1.01083,0.9915,1.208,0.001882,0.001882,0.001882
166,9180.17,0.8265,0.86577,1.18138,0.71819,0.65452,0.68911,0.48559,1.00999,0.99109,1.20721,0.0018325,0.0018325,0.0018325
167,9235.17,0.81923,0.86152,1.1712,0.72009,0.6519,0.68928,0.48637,1.00957,0.99065,1.20676,0.001783,0.001783,0.001783
168,9289.78,0.82014,0.86345,1.17365,0.72014,0.65153,0.68953,0.48648,1.00876,0.98978,1.20617,0.0017335,0.0017335,0.0017335
169,9345.13,0.81915,0.8668,1.17374,0.71907,0.65394,0.68957,0.48692,1.00791,0.98919,1.20545,0.001684,0.001684,0.001684
170,9400.13,0.81177,0.85898,1.17121,0.71895,0.65407,0.68965,0.48738,1.00734,0.98918,1.20525,0.0016345,0.0016345,0.0016345
171,9455.01,0.81354,0.84806,1.16342,0.72018,0.65364,0.69058,0.48778,1.00677,0.98897,1.20476,0.001585,0.001585,0.001585
172,9510.42,0.81261,0.84967,1.16686,0.72028,0.65152,0.69039,0.48781,1.00671,0.98863,1.20453,0.0015355,0.0015355,0.0015355
173,9565.55,0.81522,0.85239,1.17217,0.71892,0.65201,0.69047,0.48805,1.00639,0.98877,1.20412,0.001486,0.001486,0.001486
174,9620.06,0.80293,0.84451,1.16238,0.72098,0.65081,0.69037,0.48807,1.00574,0.98866,1.20381,0.0014365,0.0014365,0.0014365
175,9674.41,0.80543,0.836,1.16246,0.72084,0.64884,0.6905,0.48822,1.00542,0.98832,1.2035,0.001387,0.001387,0.001387
176,9728.86,0.80789,0.84201,1.16269,0.72167,0.64904,0.69096,0.48852,1.00512,0.98764,1.20328,0.0013375,0.0013375,0.0013375
177,9783.29,0.80387,0.84315,1.1626,0.72213,0.64904,0.69117,0.48906,1.00519,0.98745,1.20314,0.001288,0.001288,0.001288
178,9837.71,0.80811,0.83929,1.16141,0.7206,0.65008,0.6912,0.48906,1.00505,0.98709,1.20312,0.0012385,0.0012385,0.0012385
179,9892.14,0.80351,0.8366,1.15862,0.72151,0.65228,0.69177,0.48915,1.00483,0.98687,1.20281,0.001189,0.001189,0.001189
180,9946.58,0.79552,0.83133,1.1548,0.72276,0.65095,0.692,0.48917,1.00467,0.98672,1.20249,0.0011395,0.0011395,0.0011395
181,10001.2,0.79504,0.82197,1.15392,0.72257,0.65018,0.69193,0.4894,1.00462,0.98652,1.20229,0.00109,0.00109,0.00109
182,10055.9,0.80003,0.8398,1.1568,0.72146,0.65152,0.69211,0.48974,1.00426,0.98583,1.20191,0.0010405,0.0010405,0.0010405
183,10110.5,0.79452,0.8318,1.15449,0.72164,0.65209,0.69202,0.48983,1.00386,0.98528,1.20178,0.000991,0.000991,0.000991
184,10166.3,0.78446,0.82118,1.15146,0.72048,0.65209,0.6917,0.48961,1.00377,0.98537,1.20182,0.0009415,0.0009415,0.0009415
185,10222.1,0.79083,0.82203,1.15262,0.71734,0.65517,0.6917,0.48959,1.00385,0.98461,1.20168,0.000892,0.000892,0.000892
186,10278.7,0.79634,0.8214,1.15596,0.71743,0.65381,0.6918,0.48989,1.00361,0.98464,1.20129,0.0008425,0.0008425,0.0008425
